"STATION","NAME","DATE","TAVG"
"CHM00058606","NANCHANG, CH","2008-11-16","60"
"CHM00058606","NANCHANG, CH","2008-11-17","58"
"CHM00058606","NANCHANG, CH","2008-11-18","55"
"CHM00058606","NANCHANG, CH","2008-11-19","51"
"CHM00058606","NANCHANG, CH","2008-11-20","50"
"CHM00058606","NANCHANG, CH","2008-11-21","53"
"CHM00058606","NANCHANG, CH","2008-11-22","55"
"CHM00058606","NANCHANG, CH","2008-11-23","51"
"CHM00058606","NANCHANG, CH","2008-11-24","47"
"CHM00058606","NANCHANG, CH","2008-11-25","53"
"CHM00058606","NANCHANG, CH","2008-11-26","54"
"CHM00058606","NANCHANG, CH","2008-11-27","49"
"CHM00058606","NANCHANG, CH","2008-11-28","45"
"CHM00058606","NANCHANG, CH","2008-11-29","49"
"CHM00058606","NANCHANG, CH","2008-11-30","49"
"CHM00058606","NANCHANG, CH","2008-12-01","51"
"CHM00058606","NANCHANG, CH","2008-12-02","54"
"CHM00058606","NANCHANG, CH","2008-12-03","56"
"CHM00058606","NANCHANG, CH","2008-12-04","54"
"CHM00058606","NANCHANG, CH","2008-12-05","44"
"CHM00058606","NANCHANG, CH","2008-12-06","42"
"CHM00058606","NANCHANG, CH","2008-12-07","44"
"CHM00058606","NANCHANG, CH","2008-12-08","51"
"CHM00058606","NANCHANG, CH","2008-12-09","52"
"CHM00058606","NANCHANG, CH","2008-12-10","54"
"CHM00058606","NANCHANG, CH","2008-12-11","55"
"CHM00058606","NANCHANG, CH","2008-12-12","53"
"CHM00058606","NANCHANG, CH","2008-12-13","53"
"CHM00058606","NANCHANG, CH","2008-12-14","48"
"CHM00058606","NANCHANG, CH","2008-12-15","45"
"CHM00058606","NANCHANG, CH","2008-12-16","47"
"CHM00058606","NANCHANG, CH","2008-12-17","50"
"CHM00058606","NANCHANG, CH","2008-12-18","52"
"CHM00058606","NANCHANG, CH","2008-12-19","53"
"CHM00058606","NANCHANG, CH","2008-12-20","58"
"CHM00058606","NANCHANG, CH","2008-12-21","48"
"CHM00058606","NANCHANG, CH","2008-12-22","31"
"CHM00058606","NANCHANG, CH","2008-12-23","34"
"CHM00058606","NANCHANG, CH","2008-12-24","37"
"CHM00058606","NANCHANG, CH","2008-12-25","45"
"CHM00058606","NANCHANG, CH","2008-12-26","45"
"CHM00058606","NANCHANG, CH","2008-12-27","44"
"CHM00058606","NANCHANG, CH","2008-12-28","45"
"CHM00058606","NANCHANG, CH","2008-12-29","45"
"CHM00058606","NANCHANG, CH","2008-12-30","43"
"CHM00058606","NANCHANG, CH","2008-12-31","44"
"CHM00058606","NANCHANG, CH","2009-01-01","40"
"CHM00058606","NANCHANG, CH","2009-01-02","39"
"CHM00058606","NANCHANG, CH","2009-01-03","44"
"CHM00058606","NANCHANG, CH","2009-01-04","42"
"CHM00058606","NANCHANG, CH","2009-01-05","41"
"CHM00058606","NANCHANG, CH","2009-01-06","41"
"CHM00058606","NANCHANG, CH","2009-01-07","38"
"CHM00058606","NANCHANG, CH","2009-01-08","40"
"CHM00058606","NANCHANG, CH","2009-01-09","40"
"CHM00058606","NANCHANG, CH","2009-01-10","36"
"CHM00058606","NANCHANG, CH","2009-01-11","38"
"CHM00058606","NANCHANG, CH","2009-01-12","38"
"CHM00058606","NANCHANG, CH","2009-01-13","35"
"CHM00058606","NANCHANG, CH","2009-01-14","37"
"CHM00058606","NANCHANG, CH","2009-01-15","41"
"CHM00058606","NANCHANG, CH","2009-01-16","44"
"CHM00058606","NANCHANG, CH","2009-01-17","48"
"CHM00058606","NANCHANG, CH","2009-01-18","50"
"CHM00058606","NANCHANG, CH","2009-01-19","49"
"CHM00058606","NANCHANG, CH","2009-01-20","48"
"CHM00058606","NANCHANG, CH","2009-01-21","45"
"CHM00058606","NANCHANG, CH","2009-01-22","46"
"CHM00058606","NANCHANG, CH","2009-01-23","39"
"CHM00058606","NANCHANG, CH","2009-01-24","33"
"CHM00058606","NANCHANG, CH","2009-01-25","34"
"CHM00058606","NANCHANG, CH","2009-01-26","35"
"CHM00058606","NANCHANG, CH","2009-01-27","35"
"CHM00058606","NANCHANG, CH","2009-01-28","41"
"CHM00058606","NANCHANG, CH","2009-01-29","44"
"CHM00058606","NANCHANG, CH","2009-01-30","49"
"CHM00058606","NANCHANG, CH","2009-01-31","48"
"CHM00058606","NANCHANG, CH","2009-02-01","52"
"CHM00058606","NANCHANG, CH","2009-02-02","50"
"CHM00058606","NANCHANG, CH","2009-02-03","50"
"CHM00058606","NANCHANG, CH","2009-02-04","49"
"CHM00058606","NANCHANG, CH","2009-02-05","54"
"CHM00058606","NANCHANG, CH","2009-02-06","57"
"CHM00058606","NANCHANG, CH","2009-02-07","58"
"CHM00058606","NANCHANG, CH","2009-02-08","58"
"CHM00058606","NANCHANG, CH","2009-02-09","58"
"CHM00058606","NANCHANG, CH","2009-02-10","57"
"CHM00058606","NANCHANG, CH","2009-02-11","63"
"CHM00058606","NANCHANG, CH","2009-02-12","72"
"CHM00058606","NANCHANG, CH","2009-02-13","70"
"CHM00058606","NANCHANG, CH","2009-02-14","57"
"CHM00058606","NANCHANG, CH","2009-02-15","51"
"CHM00058606","NANCHANG, CH","2009-02-16","46"
"CHM00058606","NANCHANG, CH","2009-02-17","43"
"CHM00058606","NANCHANG, CH","2009-02-18","44"
"CHM00058606","NANCHANG, CH","2009-02-19","45"
"CHM00058606","NANCHANG, CH","2009-02-20","48"
"CHM00058606","NANCHANG, CH","2009-02-21","44"
"CHM00058606","NANCHANG, CH","2009-02-22","49"
"CHM00058606","NANCHANG, CH","2009-02-23","48"
"CHM00058606","NANCHANG, CH","2009-02-24","50"
"CHM00058606","NANCHANG, CH","2009-02-25","47"
"CHM00058606","NANCHANG, CH","2009-02-26","40"
"CHM00058606","NANCHANG, CH","2009-02-27","40"
"CHM00058606","NANCHANG, CH","2009-02-28","40"
"CHM00058606","NANCHANG, CH","2009-03-01","40"
"CHM00058606","NANCHANG, CH","2009-03-02","41"
"CHM00058606","NANCHANG, CH","2009-03-03","39"
"CHM00058606","NANCHANG, CH","2009-03-04","40"
"CHM00058606","NANCHANG, CH","2009-03-05","44"
"CHM00058606","NANCHANG, CH","2009-03-06","47"
"CHM00058606","NANCHANG, CH","2009-03-07","47"
"CHM00058606","NANCHANG, CH","2009-03-08","47"
"CHM00058606","NANCHANG, CH","2009-03-09","52"
"CHM00058606","NANCHANG, CH","2009-03-10","57"
"CHM00058606","NANCHANG, CH","2009-03-11","58"
"CHM00058606","NANCHANG, CH","2009-03-12","54"
"CHM00058606","NANCHANG, CH","2009-03-13","46"
"CHM00058606","NANCHANG, CH","2009-03-14","45"
"CHM00058606","NANCHANG, CH","2009-03-15","52"
"CHM00058606","NANCHANG, CH","2009-03-16","60"
"CHM00058606","NANCHANG, CH","2009-03-17","65"
"CHM00058606","NANCHANG, CH","2009-03-18","70"
"CHM00058606","NANCHANG, CH","2009-03-19","73"
"CHM00058606","NANCHANG, CH","2009-03-20","69"
"CHM00058606","NANCHANG, CH","2009-03-21","73"
"CHM00058606","NANCHANG, CH","2009-03-22","67"
"CHM00058606","NANCHANG, CH","2009-03-23","52"
"CHM00058606","NANCHANG, CH","2009-03-24","50"
"CHM00058606","NANCHANG, CH","2009-03-25","55"
"CHM00058606","NANCHANG, CH","2009-03-26","60"
"CHM00058606","NANCHANG, CH","2009-03-27","57"
"CHM00058606","NANCHANG, CH","2009-03-28","49"
"CHM00058606","NANCHANG, CH","2009-03-29","49"
"CHM00058606","NANCHANG, CH","2009-03-30","51"
"CHM00058606","NANCHANG, CH","2009-03-31","56"
"CHM00058606","NANCHANG, CH","2009-04-01","52"
"CHM00058606","NANCHANG, CH","2009-04-02","50"
"CHM00058606","NANCHANG, CH","2009-04-03","52"
"CHM00058606","NANCHANG, CH","2009-04-04","54"
"CHM00058606","NANCHANG, CH","2009-04-05","57"
"CHM00058606","NANCHANG, CH","2009-04-06","60"
"CHM00058606","NANCHANG, CH","2009-04-07","61"
"CHM00058606","NANCHANG, CH","2009-04-08","62"
"CHM00058606","NANCHANG, CH","2009-04-09","66"
"CHM00058606","NANCHANG, CH","2009-04-10","69"
"CHM00058606","NANCHANG, CH","2009-04-11","65"
"CHM00058606","NANCHANG, CH","2009-04-12","66"
"CHM00058606","NANCHANG, CH","2009-04-13","70"
"CHM00058606","NANCHANG, CH","2009-04-14","70"
"CHM00058606","NANCHANG, CH","2009-04-15","74"
"CHM00058606","NANCHANG, CH","2009-04-16","67"
"CHM00058606","NANCHANG, CH","2009-04-17","65"
"CHM00058606","NANCHANG, CH","2009-04-18","73"
"CHM00058606","NANCHANG, CH","2009-04-19","67"
"CHM00058606","NANCHANG, CH","2009-04-20","73"
"CHM00058606","NANCHANG, CH","2009-04-21","73"
"CHM00058606","NANCHANG, CH","2009-04-22","75"
"CHM00058606","NANCHANG, CH","2009-04-23","77"
"CHM00058606","NANCHANG, CH","2009-04-24","66"
"CHM00058606","NANCHANG, CH","2009-04-25","66"
"CHM00058606","NANCHANG, CH","2009-04-26","67"
"CHM00058606","NANCHANG, CH","2009-04-27","68"
"CHM00058606","NANCHANG, CH","2009-04-28","70"
"CHM00058606","NANCHANG, CH","2009-04-29","66"
"CHM00058606","NANCHANG, CH","2009-04-30","67"
"CHM00058606","NANCHANG, CH","2009-05-01","73"
"CHM00058606","NANCHANG, CH","2009-05-02","70"
"CHM00058606","NANCHANG, CH","2009-05-03","71"
"CHM00058606","NANCHANG, CH","2009-05-04","73"
"CHM00058606","NANCHANG, CH","2009-05-05","72"
"CHM00058606","NANCHANG, CH","2009-05-06","74"
"CHM00058606","NANCHANG, CH","2009-05-07","77"
"CHM00058606","NANCHANG, CH","2009-05-08","78"
"CHM00058606","NANCHANG, CH","2009-05-09","81"
"CHM00058606","NANCHANG, CH","2009-05-10","83"
"CHM00058606","NANCHANG, CH","2009-05-11","86"
"CHM00058606","NANCHANG, CH","2009-05-12","82"
"CHM00058606","NANCHANG, CH","2009-05-13","72"
"CHM00058606","NANCHANG, CH","2009-05-14","78"
"CHM00058606","NANCHANG, CH","2009-05-15","84"
"CHM00058606","NANCHANG, CH","2009-05-16","78"
"CHM00058606","NANCHANG, CH","2009-05-17","71"
"CHM00058606","NANCHANG, CH","2009-05-18","71"
"CHM00058606","NANCHANG, CH","2009-05-19","71"
"CHM00058606","NANCHANG, CH","2009-05-20","69"
"CHM00058606","NANCHANG, CH","2009-05-21","71"
"CHM00058606","NANCHANG, CH","2009-05-22","79"
"CHM00058606","NANCHANG, CH","2009-05-23","72"
"CHM00058606","NANCHANG, CH","2009-05-24","73"
"CHM00058606","NANCHANG, CH","2009-05-25","74"
"CHM00058606","NANCHANG, CH","2009-05-26","66"
"CHM00058606","NANCHANG, CH","2009-05-27","67"
"CHM00058606","NANCHANG, CH","2009-05-28","67"
"CHM00058606","NANCHANG, CH","2009-05-29","70"
"CHM00058606","NANCHANG, CH","2009-05-30","77"
"CHM00058606","NANCHANG, CH","2009-05-31","76"
"CHM00058606","NANCHANG, CH","2009-06-01","77"
"CHM00058606","NANCHANG, CH","2009-06-02","70"
"CHM00058606","NANCHANG, CH","2009-06-03","72"
"CHM00058606","NANCHANG, CH","2009-06-04","77"
"CHM00058606","NANCHANG, CH","2009-06-05","81"
"CHM00058606","NANCHANG, CH","2009-06-06","82"
"CHM00058606","NANCHANG, CH","2009-06-07","85"
"CHM00058606","NANCHANG, CH","2009-06-08","84"
"CHM00058606","NANCHANG, CH","2009-06-09","77"
"CHM00058606","NANCHANG, CH","2009-06-10","75"
"CHM00058606","NANCHANG, CH","2009-06-11","77"
"CHM00058606","NANCHANG, CH","2009-06-12","79"
"CHM00058606","NANCHANG, CH","2009-06-13","83"
"CHM00058606","NANCHANG, CH","2009-06-14","83"
"CHM00058606","NANCHANG, CH","2009-06-15","84"
"CHM00058606","NANCHANG, CH","2009-06-16","86"
"CHM00058606","NANCHANG, CH","2009-06-17","85"
"CHM00058606","NANCHANG, CH","2009-06-18","86"
"CHM00058606","NANCHANG, CH","2009-06-19","89"
"CHM00058606","NANCHANG, CH","2009-06-20","90"
"CHM00058606","NANCHANG, CH","2009-06-21","89"
"CHM00058606","NANCHANG, CH","2009-06-22","83"
"CHM00058606","NANCHANG, CH","2009-06-23","85"
"CHM00058606","NANCHANG, CH","2009-06-24","83"
"CHM00058606","NANCHANG, CH","2009-06-25","79"
"CHM00058606","NANCHANG, CH","2009-06-26","83"
"CHM00058606","NANCHANG, CH","2009-06-27","86"
"CHM00058606","NANCHANG, CH","2009-06-28","83"
"CHM00058606","NANCHANG, CH","2009-06-29","85"
"CHM00058606","NANCHANG, CH","2009-06-30","83"
"CHM00058606","NANCHANG, CH","2009-07-01","72"
"CHM00058606","NANCHANG, CH","2009-07-02","70"
"CHM00058606","NANCHANG, CH","2009-07-03","77"
"CHM00058606","NANCHANG, CH","2009-07-04","80"
"CHM00058606","NANCHANG, CH","2009-07-05","83"
"CHM00058606","NANCHANG, CH","2009-07-06","86"
"CHM00058606","NANCHANG, CH","2009-07-07","88"
"CHM00058606","NANCHANG, CH","2009-07-08","90"
"CHM00058606","NANCHANG, CH","2009-07-09","90"
"CHM00058606","NANCHANG, CH","2009-07-10","91"
"CHM00058606","NANCHANG, CH","2009-07-11","92"
"CHM00058606","NANCHANG, CH","2009-07-12","89"
"CHM00058606","NANCHANG, CH","2009-07-13","90"
"CHM00058606","NANCHANG, CH","2009-07-14","88"
"CHM00058606","NANCHANG, CH","2009-07-15","86"
"CHM00058606","NANCHANG, CH","2009-07-16","89"
"CHM00058606","NANCHANG, CH","2009-07-17","92"
"CHM00058606","NANCHANG, CH","2009-07-18","93"
"CHM00058606","NANCHANG, CH","2009-07-19","92"
"CHM00058606","NANCHANG, CH","2009-07-20","89"
"CHM00058606","NANCHANG, CH","2009-07-21","91"
"CHM00058606","NANCHANG, CH","2009-07-22","91"
"CHM00058606","NANCHANG, CH","2009-07-23","91"
"CHM00058606","NANCHANG, CH","2009-07-24","85"
"CHM00058606","NANCHANG, CH","2009-07-25","82"
"CHM00058606","NANCHANG, CH","2009-07-26","80"
"CHM00058606","NANCHANG, CH","2009-07-27","81"
"CHM00058606","NANCHANG, CH","2009-07-28","76"
"CHM00058606","NANCHANG, CH","2009-07-29","77"
"CHM00058606","NANCHANG, CH","2009-07-30","81"
"CHM00058606","NANCHANG, CH","2009-07-31","84"
"CHM00058606","NANCHANG, CH","2009-08-01","86"
"CHM00058606","NANCHANG, CH","2009-08-02","85"
"CHM00058606","NANCHANG, CH","2009-08-03","84"
"CHM00058606","NANCHANG, CH","2009-08-04","84"
"CHM00058606","NANCHANG, CH","2009-08-05","85"
"CHM00058606","NANCHANG, CH","2009-08-06","83"
"CHM00058606","NANCHANG, CH","2009-08-07","84"
"CHM00058606","NANCHANG, CH","2009-08-08","86"
"CHM00058606","NANCHANG, CH","2009-08-09","85"
"CHM00058606","NANCHANG, CH","2009-08-10","80"
"CHM00058606","NANCHANG, CH","2009-08-11","83"
"CHM00058606","NANCHANG, CH","2009-08-12","85"
"CHM00058606","NANCHANG, CH","2009-08-13","85"
"CHM00058606","NANCHANG, CH","2009-08-14","83"
"CHM00058606","NANCHANG, CH","2009-08-15","84"
"CHM00058606","NANCHANG, CH","2009-08-16","82"
"CHM00058606","NANCHANG, CH","2009-08-17","82"
"CHM00058606","NANCHANG, CH","2009-08-18","87"
"CHM00058606","NANCHANG, CH","2009-08-19","89"
"CHM00058606","NANCHANG, CH","2009-08-20","90"
"CHM00058606","NANCHANG, CH","2009-08-21","90"
"CHM00058606","NANCHANG, CH","2009-08-22","90"
"CHM00058606","NANCHANG, CH","2009-08-23","88"
"CHM00058606","NANCHANG, CH","2009-08-24","87"
"CHM00058606","NANCHANG, CH","2009-08-25","89"
"CHM00058606","NANCHANG, CH","2009-08-26","90"
"CHM00058606","NANCHANG, CH","2009-08-27","91"
"CHM00058606","NANCHANG, CH","2009-08-28","90"
"CHM00058606","NANCHANG, CH","2009-08-29","86"
"CHM00058606","NANCHANG, CH","2009-08-30","72"
"CHM00058606","NANCHANG, CH","2009-08-31","72"
"CHM00058606","NANCHANG, CH","2009-09-01","74"
"CHM00058606","NANCHANG, CH","2009-09-02","80"
"CHM00058606","NANCHANG, CH","2009-09-03","85"
"CHM00058606","NANCHANG, CH","2009-09-04","86"
"CHM00058606","NANCHANG, CH","2009-09-05","87"
"CHM00058606","NANCHANG, CH","2009-09-06","88"
"CHM00058606","NANCHANG, CH","2009-09-07","89"
"CHM00058606","NANCHANG, CH","2009-09-08","85"
"CHM00058606","NANCHANG, CH","2009-09-09","80"
"CHM00058606","NANCHANG, CH","2009-09-10","79"
"CHM00058606","NANCHANG, CH","2009-09-11","85"
"CHM00058606","NANCHANG, CH","2009-09-12","84"
"CHM00058606","NANCHANG, CH","2009-09-13","79"
"CHM00058606","NANCHANG, CH","2009-09-14","83"
"CHM00058606","NANCHANG, CH","2009-09-15","77"
"CHM00058606","NANCHANG, CH","2009-09-16","80"
"CHM00058606","NANCHANG, CH","2009-09-17","84"
"CHM00058606","NANCHANG, CH","2009-09-18","83"
"CHM00058606","NANCHANG, CH","2009-09-19","81"
"CHM00058606","NANCHANG, CH","2009-09-20","81"
"CHM00058606","NANCHANG, CH","2009-09-21","71"
"CHM00058606","NANCHANG, CH","2009-09-22","72"
"CHM00058606","NANCHANG, CH","2009-09-23","75"
"CHM00058606","NANCHANG, CH","2009-09-24","80"
"CHM00058606","NANCHANG, CH","2009-09-25","83"
"CHM00058606","NANCHANG, CH","2009-09-26","79"
"CHM00058606","NANCHANG, CH","2009-09-27","78"
"CHM00058606","NANCHANG, CH","2009-09-28","76"
"CHM00058606","NANCHANG, CH","2009-09-29","74"
"CHM00058606","NANCHANG, CH","2009-09-30","76"
"CHM00058606","NANCHANG, CH","2009-10-01","78"
"CHM00058606","NANCHANG, CH","2009-10-02","79"
"CHM00058606","NANCHANG, CH","2009-10-03","77"
"CHM00058606","NANCHANG, CH","2009-10-04","77"
"CHM00058606","NANCHANG, CH","2009-10-05","77"
"CHM00058606","NANCHANG, CH","2009-10-06","77"
"CHM00058606","NANCHANG, CH","2009-10-07","74"
"CHM00058606","NANCHANG, CH","2009-10-08","72"
"CHM00058606","NANCHANG, CH","2009-10-09","72"
"CHM00058606","NANCHANG, CH","2009-10-10","72"
"CHM00058606","NANCHANG, CH","2009-10-11","72"
"CHM00058606","NANCHANG, CH","2009-10-12","71"
"CHM00058606","NANCHANG, CH","2009-10-13","68"
"CHM00058606","NANCHANG, CH","2009-10-14","67"
"CHM00058606","NANCHANG, CH","2009-10-15","68"
"CHM00058606","NANCHANG, CH","2009-10-16","72"
"CHM00058606","NANCHANG, CH","2009-10-17","73"
"CHM00058606","NANCHANG, CH","2009-10-18","72"
"CHM00058606","NANCHANG, CH","2009-10-19","66"
"CHM00058606","NANCHANG, CH","2009-10-20","67"
"CHM00058606","NANCHANG, CH","2009-10-21","71"
"CHM00058606","NANCHANG, CH","2009-10-22","74"
"CHM00058606","NANCHANG, CH","2009-10-23","73"
"CHM00058606","NANCHANG, CH","2009-10-24","72"
"CHM00058606","NANCHANG, CH","2009-10-25","72"
"CHM00058606","NANCHANG, CH","2009-10-26","72"
"CHM00058606","NANCHANG, CH","2009-10-27","70"
"CHM00058606","NANCHANG, CH","2009-10-28","69"
"CHM00058606","NANCHANG, CH","2009-10-29","72"
"CHM00058606","NANCHANG, CH","2009-10-30","74"
"CHM00058606","NANCHANG, CH","2009-10-31","77"
"CHM00058606","NANCHANG, CH","2009-11-01","66"
"CHM00058606","NANCHANG, CH","2009-11-02","56"
"CHM00058606","NANCHANG, CH","2009-11-03","48"
"CHM00058606","NANCHANG, CH","2009-11-04","56"
"CHM00058606","NANCHANG, CH","2009-11-05","62"
"CHM00058606","NANCHANG, CH","2009-11-06","65"
"CHM00058606","NANCHANG, CH","2009-11-07","72"
"CHM00058606","NANCHANG, CH","2009-11-08","76"
"CHM00058606","NANCHANG, CH","2009-11-09","73"
"CHM00058606","NANCHANG, CH","2009-11-10","62"
"CHM00058606","NANCHANG, CH","2009-11-11","51"
"CHM00058606","NANCHANG, CH","2009-11-12","48"
"CHM00058606","NANCHANG, CH","2009-11-13","44"
"CHM00058606","NANCHANG, CH","2009-11-14","46"
"CHM00058606","NANCHANG, CH","2009-11-15","43"
"CHM00058606","NANCHANG, CH","2009-11-16","36"
"CHM00058606","NANCHANG, CH","2009-11-17","35"
"CHM00058606","NANCHANG, CH","2009-11-18","36"
"CHM00058606","NANCHANG, CH","2009-11-19","40"
"CHM00058606","NANCHANG, CH","2009-11-20","43"
"CHM00058606","NANCHANG, CH","2009-11-21","46"
"CHM00058606","NANCHANG, CH","2009-11-22","46"
"CHM00058606","NANCHANG, CH","2009-11-23","47"
"CHM00058606","NANCHANG, CH","2009-11-24","53"
"CHM00058606","NANCHANG, CH","2009-11-25","57"
"CHM00058606","NANCHANG, CH","2009-11-26","60"
"CHM00058606","NANCHANG, CH","2009-11-27","57"
"CHM00058606","NANCHANG, CH","2009-11-28","50"
"CHM00058606","NANCHANG, CH","2009-11-29","46"
"CHM00058606","NANCHANG, CH","2009-11-30","47"
"CHM00058606","NANCHANG, CH","2009-12-01","51"
"CHM00058606","NANCHANG, CH","2009-12-02","51"
"CHM00058606","NANCHANG, CH","2009-12-03","49"
"CHM00058606","NANCHANG, CH","2009-12-04","48"
"CHM00058606","NANCHANG, CH","2009-12-05","50"
"CHM00058606","NANCHANG, CH","2009-12-06","49"
"CHM00058606","NANCHANG, CH","2009-12-07","50"
"CHM00058606","NANCHANG, CH","2009-12-08","47"
"CHM00058606","NANCHANG, CH","2009-12-09","49"
"CHM00058606","NANCHANG, CH","2009-12-10","50"
"CHM00058606","NANCHANG, CH","2009-12-11","54"
"CHM00058606","NANCHANG, CH","2009-12-12","51"
"CHM00058606","NANCHANG, CH","2009-12-13","47"
"CHM00058606","NANCHANG, CH","2009-12-14","45"
"CHM00058606","NANCHANG, CH","2009-12-15","42"
"CHM00058606","NANCHANG, CH","2009-12-16","42"
"CHM00058606","NANCHANG, CH","2009-12-17","43"
"CHM00058606","NANCHANG, CH","2009-12-18","41"
"CHM00058606","NANCHANG, CH","2009-12-19","40"
"CHM00058606","NANCHANG, CH","2009-12-20","40"
"CHM00058606","NANCHANG, CH","2009-12-21","40"
"CHM00058606","NANCHANG, CH","2009-12-22","44"
"CHM00058606","NANCHANG, CH","2009-12-23","47"
"CHM00058606","NANCHANG, CH","2009-12-24","50"
"CHM00058606","NANCHANG, CH","2009-12-25","51"
"CHM00058606","NANCHANG, CH","2009-12-26","43"
"CHM00058606","NANCHANG, CH","2009-12-27","36"
"CHM00058606","NANCHANG, CH","2009-12-28","32"
"CHM00058606","NANCHANG, CH","2009-12-29","35"
"CHM00058606","NANCHANG, CH","2009-12-30","38"
"CHM00058606","NANCHANG, CH","2009-12-31","43"
"CHM00058606","NANCHANG, CH","2010-01-01","43"
"CHM00058606","NANCHANG, CH","2010-01-02","45"
"CHM00058606","NANCHANG, CH","2010-01-03","40"
"CHM00058606","NANCHANG, CH","2010-01-04","43"
"CHM00058606","NANCHANG, CH","2010-01-05","34"
"CHM00058606","NANCHANG, CH","2010-01-06","31"
"CHM00058606","NANCHANG, CH","2010-01-07","36"
"CHM00058606","NANCHANG, CH","2010-01-08","40"
"CHM00058606","NANCHANG, CH","2010-01-09","43"
"CHM00058606","NANCHANG, CH","2010-01-10","41"
"CHM00058606","NANCHANG, CH","2010-01-11","38"
"CHM00058606","NANCHANG, CH","2010-01-12","38"
"CHM00058606","NANCHANG, CH","2010-01-13","38"
"CHM00058606","NANCHANG, CH","2010-01-14","41"
"CHM00058606","NANCHANG, CH","2010-01-15","45"
"CHM00058606","NANCHANG, CH","2010-01-16","43"
"CHM00058606","NANCHANG, CH","2010-01-17","43"
"CHM00058606","NANCHANG, CH","2010-01-18","48"
"CHM00058606","NANCHANG, CH","2010-01-19","54"
"CHM00058606","NANCHANG, CH","2010-01-20","60"
"CHM00058606","NANCHANG, CH","2010-01-21","44"
"CHM00058606","NANCHANG, CH","2010-01-22","37"
"CHM00058606","NANCHANG, CH","2010-01-23","37"
"CHM00058606","NANCHANG, CH","2010-01-24","40"
"CHM00058606","NANCHANG, CH","2010-01-25","45"
"CHM00058606","NANCHANG, CH","2010-01-26","44"
"CHM00058606","NANCHANG, CH","2010-01-27","48"
"CHM00058606","NANCHANG, CH","2010-01-28","52"
"CHM00058606","NANCHANG, CH","2010-01-29","52"
"CHM00058606","NANCHANG, CH","2010-01-30","53"
"CHM00058606","NANCHANG, CH","2010-01-31","50"
"CHM00058606","NANCHANG, CH","2010-02-01","50"
